month;year;date;txt_breve_material;kcal;preco
4;2024;01/04/2024;ABOBRINHA SOUTE;100.0 ;1.0
4;2024;01/04/2024;ACELGA C/ UVA ;100.0 ;1.0
4;2024;01/04/2024;ALFACE AMERICANA;100.0;1.0
4;2024;01/04/2024;ARROZ 1 ;100.0;1.0
4;2024;01/04/2024;ARROZ INTEGRAL 1 ;100.0;1.0
4;2024;01/04/2024;BIFE BOVINO COM CHIMICHURRI;100.0;1.0
4;2024;01/04/2024;CEBOLA CONSERVA;100.0;1.0
4;2024;01/04/2024;CENOURA RALADA;100.0;1.0
4;2024;01/04/2024;FEIJAO;100.0;1.0
4;2024;01/04/2024;FRANGO ENSOPADO (COXINHA/ASA) ;100.0;1.0
4;2024;01/04/2024;FRUTA UNIDADE;100.0;1.0
4;2024;01/04/2024;PE DE MOLEQUE 25g;100.0;1.0
4;2024;01/04/2024;PIMENTAO COLORIDO;100.0;1.0
4;2024;01/04/2024;POLENTA CAPIXABA;100.0;1.0
4;2024;02/04/2024;ARROZ 1;100.0;1.0
4;2024;02/04/2024;ARROZ INTEGRAL COM CURCUMA;100.0;1.0
4;2024;02/04/2024;BATATA DOCE;100.0;1.0
4;2024;02/04/2024;BERINJELAS A NAPOLITANA;100.0;1.0
4;2024;02/04/2024;BETERRABA RALADA;100.0;1.0
4;2024;02/04/2024;BIFE PERNIL ACEBOLADO;100.0;1.0
4;2024;02/04/2024;CHICORIA;100.0;1.0
4;2024;02/04/2024;CHUCHU COZIDO ;100.0;1.0
4;2024;02/04/2024;FEIJAO;100.0;1.0
4;2024;02/04/2024;FILEZINHO FRANGO COM AZEITONA;100.0;1.0
4;2024;02/04/2024;FRUTA UNIDADE;100.0;1.0
4;2024;02/04/2024;RABANETE AGRIDOCE;100.0;1.0
4;2024;02/04/2024;SAGU DE VINHO;100.0;1.0
4;2024;02/04/2024;SALADA MISTA VERAO;100.0;1.0
4;2024;03/04/2024;ALMEIRAO;100.0;1.0
4;2024;03/04/2024;ARROZ 1;100.0;1.0
4;2024;03/04/2024;ARROZ INTEGRAL 1;100.0;1.0
4;2024;03/04/2024;CENOURA C/ ERVAS;100.0;1.0
4;2024;03/04/2024;ESCALOPE SUINO AGRIDOCE;100.0;1.0
4;2024;03/04/2024;FEIJAO;100.0;1.0
4;2024;03/04/2024;FRANGO ASSADO;100.0;1.0
4;2024;03/04/2024;FRUTA UNIDADE;100.0;1.0
4;2024;03/04/2024;GELATINA DE CEREJA;100.0;1.0
4;2024;03/04/2024;GRAO DE BICO CONSERVA;100.0;1.0
4;2024;03/04/2024;MACARRAO ESPECIAL ;100.0;1.0
4;2024;03/04/2024;REPOLHO ROXO RALADO ;100.0;1.0
4;2024;03/04/2024;SALADA ITALIANA;100.0;1.0
4;2024;03/04/2024;VINAGRETE SIMPLES;100.0;1.0
4;2024;04/04/2024;ARROZ 1;100.0;1.0
4;2024;04/04/2024;ARROZ INTEGRAL 1;100.0;1.0
4;2024;04/04/2024;BATATA AROMATICA;100.0;1.0
4;2024;04/04/2024;BETERRABA CUBADA;100.0;1.0
4;2024;04/04/2024;CENOURA RALADA ;100.0;1.0
4;2024;04/04/2024;COZIDO CAMPEIRO;100.0;1.0
4;2024;04/04/2024;ESCAROLA FRISSE;100.0;1.0
