TxtBreveMaterial;Material;PreçPln.atual;Classe;Categoria incidência 1;cat1;Incidência/Mês 1 ;Categoria incidência 2;cat2;Incidência / Mês 2;1lúten;1actose;QTD G;KCAL;CHO;PTN;PTN LÍQ;GORD TOTAL;GORD SAT;FIBRA;SÓDIO;INFO ADICIONAL
ARROZ                         ;50005117;0.26;ARROZ COZIDO;ARROZ BRANCO;A;21;;;;0;0;60;204.62;44.41;4.1;2.05;1.17;0.21;0.95;388.17;ARROZ,OLEO,SAL.
ARROZ 1                       ;50072914;0.23;ARROZ COZIDO;ARROZ BRANCO;A;21;;;;0;0;60;204.62;44.41;4.1;2.05;1.17;0.21;0.95;388.17;ARROZ,OLEO,SAL.
ARROZ 2                       ;50072796;0.26;ARROZ COZIDO;ARROZ BRANCO;A;21;;;;0;0;60;204.62;44.41;4.1;2.05;1.17;0.21;0.95;388.17;ARROZ,OLEO,SAL.
ARROZ 3                       ;50072795;0.17;ARROZ COZIDO;ARROZ BRANCO;A;21;;;;0;0;60;204.62;44.41;4.1;2.05;1.17;0.21;0.95;388.17;ARROZ,OLEO,SAL.
ARROZ A FANTASIA              ;50005941;0.18;ARROZ COZIDO;ARROZ BRANCO DIFERENTE;A;;;;;0;0;71.06;211.05;47.69;4.43;3.3;0.28;0.08;1.5;19.83;ARROZ,CENOURA,ERVILHA,MILHO,UVA PASSA,OLEODE SOJA,SAL.
ARROZ A GREGA                 ;50005108;0.65;ARROZ COZIDO;ARROZ BRANCO DIFERETE;A;21;;;;0;0;106;253.34;56.35;5.39;2.69;0.7;0.14;1.97;42.49;ARROZ,CENOURA,TOMATE,CEBOLA,AZEITONA,OLEO DE SOJA,SAL.
ARROZ A PRIMAVERA             ;50005115;0.73;ARROZ COZIDO;ARROZ BRANCO DIFERENTE;A;;;;;0;0;128.33;329.73;64.56;10.34;5.9;3.35;0.98;1.89;87.55;ARROZ,OVO,TOMATE,MILHO,ERVILHA,SALSINHA.
ARROZ BRANCO                  ;50005107;0.42;ARROZ COZIDO;ARROZ BRANCO;A;21;;;;0;0;60;204.62;44.41;4.1;2.05;1.17;0.21;0.95;388.17;ARROZ,OLEO DE SOJA,SAL.
ARROZ ESPANHOL                ;50005112;0.49;ARROZ COZIDO;ARROZ BRANCO;A;;;;;0;0;102;300.53;67;6.28;3.14;0.83;0.18;1.83;823.39;ARROZ,TOMATE,CENOURA,CEBOLA,AZEITONA PRETA,ABOBRINHA,SAL.
ARROZ P/O VERAO               ;50005114;0.35;ARROZ COZIDO;ARROZ BRANCO;A;21;;;;0;0;60;204.62;44.41;4.1;2.05;1.17;0.21;0.95;388.17;ARROZ,OLEO DE SOJA,SAL.
